,Playmaker,Assists,Team
1,Alli,9,SPURS
3,De Bruyne,6,CITY
2,Martial,6,UNITED
4,D. James,5,UNITED
5,Pedro,5,CHELSEA
6,Salah,5,LIVERPOOL
7,Silva,5,CITY
8,Jota,4,WOLVES
9,Sane,4,CITY
10,Lucas,4,SPURS
13,Rashford,4,UNITED
15,Pulisic,3,CHELSEA
16,Eriksen,3,SPURS
23,Greenwood,3,UNITED
14,Aguero,3,CITY
11,Aubameyang,3,ARSENAL
12,Ozil,3,ARSENAl
24,Giroud,2,CHELSEA
27,Firmino,2,LIVERPOOL
26,Wijnaldum,2,LIVERPOOL
25,Milner,2,LIVERPOOL
45,McTominay,2,UNITED
21,Lacazette,2,ARSENAL
20,Neves,2,WOLVES
19,Walker,2,CITY
18,Moutinho,2,WOLVES
17,Wanyama,2,SPURS
22,Ceballos,2,ARSENAL
46,Xhaka,1,ARSENAL
53,Loftus-Cheek,1,CHELSEA
47,Matic,1,UNITED
48,Kane,1,SPURS
49,Mane,1,LIVERPOOL
50,Alexis,1,UNITED
51,Robertson,1,LIVERPOOL
52,Otto,1,WOLVES
57,Ndombele,1,SPURS
54,James,1,UNITED
55,Sterling,1,CITY
56,Pepe,1,ARSENAL
58,Cavaliero,1,WOLVES
59,Mata,1,UNITED
61,Tierney,1,ARSENAL
62,Dier,1,SPURS
60,Darmian,1,UNITED
32,Alexander-Arnold,1,LIVERPOOL
44,Shaw,1,UNITED
35,Jesus,1,CITY
28,Jorginho,1,CHELSEA
29,Mkhitaryan,1,ARSENAL
30,Lindelof,1,UNITED
31,Kante,1,CHELSEA
33,Fabinho,1,LIVERPOOL
34,Azpilicueta,1,CHELSEA
36,Lamela,1,SPURS
43,Henderson,1,LIVERPOOL
37,Shaqiri,1,LIVERPOOL
38,Keita,1,LIVERPOOL
39,Willian,1,CHELSEA
40,David Luiz,1,ARSENAL
41,Rose,1,SPURS
42,Rodrigo,1,CITY
63,Son,0,SPURS
