,Player,Goals,Team
1,Kane,16,SPURS
2,Aguero,11,CITY
3,Giroud,9,CHELSEA
4,Lacazette,9,ARSENAL
5,Rashford,8,UNITED
10,Martial,7,UNITED
6,Firmino,7,LIVERPOOL
8,Sane,7,CITY
7,Xhaka,7,ARSENAL
12,D. James,6,UNITED
16,Pogba,6,UNITED
9,Wanyama,6,SPURS
13,Eriksen,6,SPURS
11,Silva,6,CITY
14,Raul,5,WOLVES
15,Salah,5,LIVERPOOL
17,Alli,4,SPURS
19,Wijnaldum,4,LIVERPOOL
18,Sterling,4,CITY
20,Pedro,4,CHELSEA
24,Moutinho,3,WOLVES
23,Greenwood,3,UNITED
25,Mane,3,LIVERPOOL
21,Aubameyang,3,ARSENAL
22,Ozil,3,ARSENAL
31,Neves,2,WOLVES
35,Doherty,2,WOLVES
36,Adama,2,WOLVES
27,Lingard,2,UNITED
38,Andreas,2,UNITED
26,Lucas,2,SPURS
28,Son,2,SPURS
29,Keita,2,LIVERPOOL
33,Milner,2,LIVERPOOL
30,De Bruyne,2,CITY
37,Jesus,2,CITY
32,Loftus-Cheek,2,CHELSEA
34,Kante,2,CHELSEA
40,Jota,1,WOLVES
42,Matic,1,UNITED
47,Maguire,1,UNITED
51,Wan-Bissaka,1,UNITED
53,McTominay,1,UNITED
56,Mata,1,UNITED
57,Alexis,1,UNITED
39,Alderweireld,1,SPURS
55,Dier,1,SPURS
58,Rose,1,SPURS
59,Sissoko,1,SPURS
46,Shaqiri,1,LIVERPOOL
50,Alexander-Arnold,1,LIVERPOOL
48,Bernardo Silva,1,CITY
41,Azpilicueta,1,CHELSEA
43,Abraham,1,CHELSEA
45,Jorginho,1,CHELSEA
49,Alonso,1,CHELSEA
54,Pulisic,1,CHELSEA
44,Kolasinac,1,ARSENAL
52,David Luiz,1,ARSENAL
